iter	Passed	Remaining
400	16922	25278
401	16967	25239
402	17013	25203
403	17044	25145
404	17083	25098
405	17138	25075
406	17199	25059
407	17244	25022
408	17278	24967
409	17311	24912
410	17350	24864
411	17398	24831
412	17445	24795
413	17495	24764
414	17531	24712
415	17572	24669
416	17607	24617
417	17638	24559
418	17680	24515
419	17728	24482
420	17769	24438
421	17806	24389
422	17843	24339
423	17898	24315
424	17987	24336
425	18050	24321
426	18089	24274
427	18142	24246
428	18202	24228
429	18238	24176
430	18282	24136
431	18325	24094
432	18365	24048
433	18432	24038
434	18472	23992
435	18504	23936
436	18548	23896
437	18582	23843
438	18620	23795
439	18655	23743
440	18703	23708
441	18762	23686
442	18912	23779
443	18958	23741
444	19041	23747
445	19119	23749
446	19176	23723
447	19212	23671
448	19249	23622
449	19296	23584
450	19345	23549
451	19383	23500
452	19441	23475
453	19491	23441
454	19543	23409
455	19581	23360
456	19621	23314
457	19655	23261
458	19704	23224
459	19738	23171
460	19771	23116
461	19805	23063
462	19842	23013
463	19887	22973
464	19929	22929
465	19970	22885
466	20008	22835
467	20049	22791
468	20083	22737
469	20127	22696
470	20170	22654
471	20202	22599
472	20237	22548
473	20280	22504
474	20319	22458
475	20366	22420
476	20412	22380
477	20457	22340
478	20490	22286
479	20526	22237
480	20568	22193
481	20616	22156
482	20660	22114
483	20707	22076
484	20766	22051
485	20853	22054
486	20899	22015
487	20935	21964
488	20982	21926
489	21030	21888
490	21089	21862
491	21148	21836
492	21185	21787
493	21220	21735
494	21265	21695
495	21314	21658
496	21383	21641
497	21431	21603
498	21476	21563
499	21531	21531
500	21578	21492
501	21627	21455
502	21673	21414
503	21719	21374
504	21776	21344
505	21824	21307
506	21876	21272
507	21916	21226
508	21959	21182
509	22002	21139
510	22060	21110
511	22126	21089
512	22313	21182
513	22375	21157
514	22430	21123
515	22482	21088
516	22537	21055
517	22588	21018
518	22634	20977
519	22699	20953
520	22774	20938
521	22821	20898
522	22870	20858
523	22920	20820
524	22968	20780
525	23016	20741
526	23065	20702
527	23118	20666
528	23167	20626
529	23214	20586
530	23268	20551
531	23306	20502
532	23347	20456
533	23389	20411
534	23443	20376
535	23499	20343
536	23552	20306
537	23597	20263
538	23644	20223
539	23691	20181
540	23745	20146
541	23801	20113
542	23845	20068
543	23891	20026
544	23937	19984
545	23986	19944
546	24031	19902
547	24072	19855
548	24118	19813
549	24162	19769
550	24211	19729
551	24273	19700
552	24317	19656
553	24362	19613
554	24406	19569
555	24468	19539
556	24512	19495
557	24556	19451
558	24600	19407
559	24645	19364
560	24694	19323
561	24740	19281
562	24788	19241
563	24827	19192
564	24872	19149
565	24921	19109
566	24970	19069
567	25017	19027
568	25068	18988
569	25120	18950
570	25172	18912
571	25213	18866
572	25258	18822
